transaction_id,transaction_date,customer_id,product_id,branch_id,channel,quantity,unit_price,discount_percentage,gross_revenue,net_revenue,cost,gross_margin,payment_status,campaign_id,has_campaign,product_name,category,standard_price,cost_price,margin_percentage,active_status,customer_type,segment,acquisition_channel,customer_since,location_category,customer_attribute,attribute_type,campaign_name,campaign_start_date,campaign_end_date,offer_type,campaign_cost,transaction_year,transaction_month,transaction_year_month,discount_band,customer_tenure_days,margin_percentage_tx
TXN034365,1/1/2024,C00155,P0099,BR06,Online,6,251.81,5,1510.86,1435.32,950.22,485.1,Paid,No Campaign,FALSE,Pro Cutlery Set,Home & Living,241.48,158.37,34.42,Active,Individual,Premium,Online,1/1/2024,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,33.8
TXN010962,1/1/2024,C00043,P0006,BR03,Branch,1,47.1,10,47.1,42.39,25.71,16.68,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,SME,Standard,Referral,1/1/2024,Urban,Large (51-200),business_size,No Campaign,,,No offer,,2024,1,2024-01,6-10%,0,39.35
TXN007598,1/1/2024,C01252,P0004,BR05,Dealer,1,82.84,20,82.84,66.27,55.08,11.19,Paid,No Campaign,FALSE,Ultra Lip Balm Set,Beauty & Personal Care,79.04,55.08,30.31,Active,Individual,Premium,Sales Team,1/1/2024,Urban,65+,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,0,16.89
TXN038126,1/1/2024,C01733,P0096,BR02,Branch,1,35.47,10,35.47,31.92,25.23,6.69,Paid,No Campaign,FALSE,Advanced Granola Mix,Food & Beverage,34.52,25.23,26.91,Active,SME,Standard,Sales Team,3/20/2022,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,6-10%,652,20.96
TXN018144,1/1/2024,C01923,P0049,BR03,Direct Sales,3,141.88,20,425.64,340.51,399.6,-59.09,Paid,No Campaign,FALSE,Lite Webcam,Electronics,145.57,133.2,8.5,Active,Individual,Standard,Referral,1/1/2024,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,0,-17.35
TXN038287,1/1/2024,C01357,P0070,BR01,Direct Sales,7,42.24,5,295.68,280.9,175,105.9,Paid,No Campaign,FALSE,Deluxe Deodorant,Beauty & Personal Care,41.57,25,39.86,Active,Individual,Budget,Online,1/1/2024,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,37.7
TXN010879,1/1/2024,C00013,P0020,BR05,Online,4,50.95,28.17,203.8,146.39,128.92,17.47,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Budget,Online,11/24/2022,Urban,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,20%+,403,11.93
TXN017701,1/1/2024,C01373,P0020,BR03,Dealer,3,48.9,33.41,146.7,97.69,96.69,1,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,SME,Standard,Walk-in,6/10/2023,Urban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,20%+,205,1.02
TXN038399,1/1/2024,C01246,P0050,BR03,Branch,2,88.76,20,177.52,142.02,132.66,9.36,Pending,No Campaign,FALSE,Lite Cotton T-Shirt,Apparel,93.11,66.33,28.76,Active,Individual,New,Referral,5/21/2023,Other,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,225,6.59
TXN007895,1/1/2024,C01858,P0088,BR08,Online,3,75.88,5,227.64,216.26,104.58,111.68,Partially Paid,No Campaign,FALSE,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active,SME,New,Referral,1/1/2024,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,51.64
